team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,cupmarket_price,market_rank,generated_at_utc,model_version,bracket_mode,previous_price,price_change,price_change_percent
Argentina,J,2202.712195437658,1.0,0.0,0.0,0.0,1.0,0.9473,0.817,0.62055,0.4474,0.3343,0.0,0.0526999999999999,0.1303,0.1964499999999999,0.17315,0.1131,1,69.69,1,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,65.29,4.3999999999999915,6.739163731046088
Brazil,C,2092.2793100842528,1.0,0.0,0.0,0.0,1.0,1.0,0.63245,0.421,0.21825,0.08675,0.0,0.0,0.36755,0.2114499999999999,0.2027499999999999,0.1315,4,55.64,2,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,44.32,11.32,25.541516245487365
France,I,2162.8624284479024,1.0,0.0,0.0,0.0,1.0,0.9108,0.63975,0.34185,0.16895,0.10905,0.0,0.0891999999999999,0.27105,0.2979,0.1729,0.0598999999999999,3,52.46,3,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,53.88,-1.4200000000000017,-2.635486265775801
Spain,H,2185.601557694717,1.0,0.0,0.0,0.0,1.0,0.76825,0.54275,0.40915,0.29695,0.1497,0.0,0.23175,0.2255,0.1335999999999999,0.1122,0.14725,2,52.26,4,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,53.31,-1.0500000000000043,-1.9696117051209983
England,L,2087.9828858374626,1.0,0.0,0.0,0.0,1.0,0.8362,0.5493,0.3153,0.1184,0.0738,0.0,0.1637999999999999,0.2869,0.2339999999999999,0.1969,0.0446,5,47.72,5,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,49.92,-2.200000000000003,-4.407051282051287
Colombia,K,2064.832719368864,1.0,0.0,0.0,0.0,1.0,0.8895,0.57635,0.21115,0.10325,0.0522,0.0,0.1105,0.3131499999999999,0.3652,0.1079,0.0510499999999999,6,46.42,6,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,50.42,-4.0,-7.933359777865926
Canada,B,1859.4655817712417,0.0,1.0,0.0,0.0,1.0,1.0,0.4555,0.1547,0.0541,0.0136,0.0,0.0,0.5445,0.3008,0.1006,0.0405,12,43.22,7,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,38.44,4.780000000000001,12.434963579604583
United States,D,1881.728285285661,1.0,0.0,0.0,0.0,1.0,0.80335,0.49895,0.18635,0.0877,0.0176,0.0,0.19665,0.3044,0.3126,0.0986499999999999,0.0701,10,42.34,8,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,35.62,6.720000000000006,18.865805727119614
Germany,E,1979.200396172908,1.0,0.0,0.0,0.0,1.0,0.6591,0.4053,0.2089,0.0796,0.022,0.0,0.3409,0.2538,0.1964,0.1293,0.0576,9,38.69,9,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,36.05,2.6400000000000006,7.323162274618587
Portugal,K,2032.543892649518,0.0,1.0,0.0,0.0,1.0,0.68125,0.2857,0.1727,0.092,0.03025,0.0,0.31875,0.39555,0.113,0.0807,0.06175,7,36.22,10,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,34.79,1.4299999999999997,4.11037654498419
Norway,I,1951.2558569055784,0.0,1.0,0.0,0.0,1.0,0.6805,0.3077,0.14845,0.04915,0.01005,0.0,0.3195,0.3728,0.1592499999999999,0.0993,0.0390999999999999,15,35.22,11,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,34.31,0.9099999999999966,2.6522879626930824
Mexico,A,1988.196208319044,1.0,0.0,0.0,0.0,1.0,0.6194,0.26865,0.14095,0.04565,0.0264,0.0,0.3806,0.3507499999999999,0.1277,0.0953,0.01925,8,33.56,12,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,36.11,-2.549999999999997,-7.061755746330649
Belgium,G,1940.014724602359,1.0,0.0,0.0,0.0,1.0,0.53775,0.25355,0.1017,0.05285,0.01365,0.0,0.46225,0.2841999999999999,0.1518499999999999,0.04885,0.0392,11,31.17,13,2026-06-29 19:20:49.591721+00:00,phase6_knockout_progression_v1,official_api_locked_knockout_progression,33.86,-2.6899999999999977,-7.944477259303006
