logical_match_number,api_match_id,stage,utc_date,status,home_team,away_team,home_score,away_score,duration,decision_method,advancing_team,home_penalties,away_penalties
73,537417,LAST_32,2026-06-28 19:00:00+00:00,FINISHED,South Africa,Canada,0.0,1.0,REGULAR,regular_time,Canada,,
74,537423,LAST_32,2026-06-29 17:00:00+00:00,FINISHED,Brazil,Japan,2.0,1.0,REGULAR,regular_time,Brazil,,
75,537415,LAST_32,2026-06-29 20:30:00+00:00,FINISHED,Germany,Paraguay,4.0,5.0,PENALTY_SHOOTOUT,penalties,Paraguay,3.0,4.0
76,537418,LAST_32,2026-06-30 01:00:00+00:00,FINISHED,Netherlands,Morocco,3.0,4.0,PENALTY_SHOOTOUT,penalties,Morocco,2.0,3.0
77,537424,LAST_32,2026-06-30 17:00:00+00:00,FINISHED,Ivory Coast,Norway,1.0,2.0,REGULAR,regular_time,Norway,,
78,537416,LAST_32,2026-06-30 21:00:00+00:00,FINISHED,France,Sweden,3.0,0.0,REGULAR,regular_time,France,,
79,537425,LAST_32,2026-07-01 02:00:00+00:00,FINISHED,Mexico,Ecuador,2.0,0.0,REGULAR,regular_time,Mexico,,
80,537426,LAST_32,2026-07-01 16:00:00+00:00,FINISHED,England,Congo DR,2.0,1.0,REGULAR,regular_time,England,,
81,537422,LAST_32,2026-07-01 20:00:00+00:00,FINISHED,Belgium,Senegal,3.0,2.0,EXTRA_TIME,extra_time,Belgium,,
82,537421,LAST_32,2026-07-02 00:00:00+00:00,FINISHED,United States,Bosnia-Herzegovina,2.0,0.0,REGULAR,regular_time,United States,,
83,537420,LAST_32,2026-07-02 19:00:00+00:00,IN_PLAY,Spain,Austria,1.0,0.0,REGULAR,,,,
84,537419,LAST_32,2026-07-02 23:00:00+00:00,TIMED,Portugal,Croatia,,,REGULAR,,,,
85,537429,LAST_32,2026-07-03 03:00:00+00:00,TIMED,Switzerland,Algeria,,,REGULAR,,,,
86,537428,LAST_32,2026-07-03 18:00:00+00:00,TIMED,Australia,Egypt,,,REGULAR,,,,
87,537427,LAST_32,2026-07-03 22:00:00+00:00,TIMED,Argentina,Cape Verde Islands,,,REGULAR,,,,
88,537430,LAST_32,2026-07-04 01:30:00+00:00,TIMED,Colombia,Ghana,,,REGULAR,,,,
89,537376,LAST_16,2026-07-04 17:00:00+00:00,TIMED,Canada,Morocco,,,REGULAR,,,,
90,537375,LAST_16,2026-07-04 21:00:00+00:00,TIMED,Paraguay,France,,,REGULAR,,,,
91,537377,LAST_16,2026-07-05 20:00:00+00:00,TIMED,Brazil,Norway,,,REGULAR,,,,
92,537378,LAST_16,2026-07-06 00:00:00+00:00,TIMED,Mexico,England,,,REGULAR,,,,
93,537379,LAST_16,2026-07-06 19:00:00+00:00,TIMED,,,,,REGULAR,,,,
94,537380,LAST_16,2026-07-07 00:00:00+00:00,TIMED,United States,Belgium,,,REGULAR,,,,
95,537381,LAST_16,2026-07-07 16:00:00+00:00,TIMED,,,,,REGULAR,,,,
96,537382,LAST_16,2026-07-07 20:00:00+00:00,TIMED,,,,,REGULAR,,,,
97,537383,QUARTER_FINALS,2026-07-09 20:00:00+00:00,TIMED,,,,,REGULAR,,,,
98,537384,QUARTER_FINALS,2026-07-10 19:00:00+00:00,TIMED,,,,,REGULAR,,,,
99,537385,QUARTER_FINALS,2026-07-11 21:00:00+00:00,TIMED,,,,,REGULAR,,,,
100,537386,QUARTER_FINALS,2026-07-12 01:00:00+00:00,TIMED,,,,,REGULAR,,,,
101,537387,SEMI_FINALS,2026-07-14 19:00:00+00:00,TIMED,,,,,REGULAR,,,,
102,537388,SEMI_FINALS,2026-07-15 19:00:00+00:00,TIMED,,,,,REGULAR,,,,
103,537389,THIRD_PLACE,2026-07-18 21:00:00+00:00,TIMED,,,,,REGULAR,,,,
104,537390,FINAL,2026-07-19 19:00:00+00:00,TIMED,,,,,REGULAR,,,,
