team,group,live_elo,prob_finish_1st_group,prob_finish_2nd_group,prob_finish_3rd_group,prob_best_third_qualifier,prob_reach_round_32,prob_reach_round_16,prob_reach_quarter_final,prob_reach_semi_final,prob_reach_final,prob_champion,prob_group_exit,prob_round_32_exit,prob_round_16_exit,prob_quarter_final_exit,prob_semi_final_exit,prob_runner_up,champion_rank,generated_at_utc,model_version,bracket_mode
Spain,H,2193.605453699311,0.7492,0.2058,0.038,0.0348,0.9898,0.7404,0.6012,0.4628,0.3558,0.234,0.010199999999999987,0.24940000000000007,0.1392,0.13839999999999997,0.10699999999999998,0.12179999999999999,1,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Argentina,J,2167.3317641567887,0.7216,0.198,0.0616,0.053,0.9726,0.6854,0.5576,0.4224,0.3204,0.2182,0.02739999999999998,0.2872,0.12780000000000002,0.1352,0.10199999999999998,0.10220000000000001,2,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
England,L,2070.4987809142654,0.6376,0.2676,0.0816,0.071,0.9762,0.7012,0.4488,0.297,0.1524,0.0846,0.023800000000000043,0.2749999999999999,0.25240000000000007,0.1518,0.14459999999999998,0.06780000000000001,3,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
France,I,2101.7463153053523,0.5782,0.256,0.1208,0.1018,0.936,0.7042,0.4882,0.293,0.1448,0.076,0.06399999999999995,0.2318,0.21600000000000003,0.19520000000000004,0.14819999999999997,0.06880000000000001,4,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Colombia,K,2039.058801198529,0.3746,0.3582,0.1868,0.1468,0.8796,0.5626,0.3146,0.1628,0.086,0.0366,0.12039999999999995,0.31700000000000006,0.248,0.1518,0.07680000000000001,0.04939999999999999,5,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Portugal,K,2020.3334295740908,0.4824,0.3228,0.1418,0.1148,0.92,0.6134,0.3306,0.167,0.0856,0.0358,0.07999999999999996,0.3066000000000001,0.28279999999999994,0.1636,0.08140000000000001,0.0498,6,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Mexico,A,1951.7678590630444,0.5464,0.3692,0.0782,0.0716,0.9872,0.6618,0.315,0.1762,0.0702,0.0318,0.012800000000000034,0.3253999999999999,0.34680000000000005,0.1388,0.106,0.0384,7,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Brazil,C,2041.1817026954664,0.5464,0.282,0.1242,0.1058,0.9342,0.5822,0.338,0.1812,0.0662,0.0304,0.06579999999999997,0.352,0.24420000000000003,0.15680000000000002,0.115,0.0358,8,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Belgium,G,1929.0653183827285,0.4922,0.269,0.156,0.1282,0.8894,0.5768,0.3148,0.1362,0.0732,0.0284,0.11060000000000003,0.3126,0.26199999999999996,0.17860000000000004,0.06299999999999999,0.0448,9,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Netherlands,F,1996.681521991079,0.456,0.3204,0.1548,0.1258,0.9022,0.5458,0.3178,0.1682,0.0648,0.0264,0.0978,0.35640000000000005,0.22799999999999992,0.14960000000000004,0.10339999999999999,0.0384,10,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Uruguay,H,1957.0903135327053,0.2076,0.5476,0.1806,0.1298,0.885,0.3972,0.2208,0.1146,0.06,0.0244,0.11499999999999999,0.4878,0.1764,0.1062,0.054599999999999996,0.03559999999999999,11,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Ecuador,E,1993.72029949052,0.3874,0.359,0.2042,0.1654,0.9118,0.5628,0.2838,0.135,0.0598,0.0238,0.08819999999999995,0.3490000000000001,0.27899999999999997,0.1488,0.07520000000000002,0.036,12,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Germany,E,1987.3824661636663,0.46,0.3348,0.1646,0.1418,0.9366,0.547,0.27,0.1222,0.048,0.0202,0.06340000000000001,0.38959999999999995,0.277,0.14780000000000001,0.0742,0.027800000000000002,13,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Japan,F,1975.0832505666208,0.3888,0.347,0.1752,0.138,0.8738,0.4574,0.2482,0.1122,0.0436,0.0174,0.12619999999999998,0.41640000000000005,0.20919999999999997,0.136,0.0686,0.0262,14,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Switzerland,B,1932.1461835139264,0.5644,0.261,0.1212,0.0972,0.9226,0.5376,0.2226,0.0896,0.0408,0.0162,0.07740000000000002,0.385,0.31499999999999995,0.133,0.048799999999999996,0.024600000000000004,15,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Morocco,C,1972.5437856688088,0.307,0.3844,0.214,0.1632,0.8546,0.4322,0.2258,0.0984,0.0376,0.0142,0.14539999999999997,0.42240000000000005,0.20639999999999997,0.1274,0.0608,0.0234,16,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Norway,I,1935.0393258377,0.2216,0.3414,0.2832,0.2006,0.7636,0.4318,0.2342,0.101,0.0378,0.0134,0.23640000000000005,0.33179999999999993,0.19760000000000003,0.13319999999999999,0.0632,0.024399999999999998,17,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
South Korea,A,1891.8396569532424,0.427,0.468,0.0848,0.0722,0.9672,0.5718,0.2242,0.1018,0.033,0.0114,0.03280000000000005,0.3954,0.34759999999999996,0.12240000000000001,0.0688,0.0216,18,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Canada,B,1858.59205323128,0.3158,0.4204,0.2002,0.1374,0.8736,0.447,0.2016,0.0716,0.0256,0.0092,0.12639999999999996,0.42660000000000003,0.2454,0.13,0.046,0.0164,19,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Australia,D,1895.2608789341264,0.29,0.2786,0.2362,0.1806,0.7492,0.4138,0.1702,0.0608,0.0222,0.008,0.2508,0.3354,0.2436,0.1094,0.038599999999999995,0.0142,20,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Croatia,L,1948.9745085429984,0.2754,0.4286,0.2244,0.1664,0.8704,0.4092,0.154,0.0686,0.026,0.0072,0.12960000000000005,0.46119999999999994,0.2552,0.0854,0.0426,0.018799999999999997,21,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Turkey,D,1934.3941687368904,0.2596,0.2572,0.25,0.1862,0.703,0.4034,0.1816,0.0692,0.029,0.0068,0.29700000000000004,0.2996,0.22179999999999997,0.11240000000000001,0.0402,0.0222,22,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Paraguay,D,1885.5700487446968,0.2884,0.261,0.2444,0.1864,0.7358,0.4018,0.1658,0.0596,0.0204,0.0058,0.2642,0.334,0.236,0.1062,0.0392,0.014600000000000002,23,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Senegal,I,1897.2542396614467,0.165,0.3,0.3386,0.2442,0.7092,0.343,0.1516,0.0554,0.0182,0.0054,0.29079999999999995,0.3662,0.19140000000000001,0.09620000000000001,0.0372,0.0128,24,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Iran,G,1885.083359908367,0.2686,0.3266,0.2496,0.1848,0.78,0.3864,0.1512,0.0448,0.0164,0.0042,0.21999999999999997,0.3936,0.23520000000000002,0.1064,0.028399999999999998,0.012200000000000003,25,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Austria,J,1865.4544576007104,0.148,0.368,0.2958,0.2012,0.7172,0.2528,0.1116,0.0388,0.0158,0.003,0.28280000000000005,0.4643999999999999,0.14120000000000002,0.0728,0.023,0.012800000000000002,26,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
United States,D,1826.0505717196809,0.162,0.2032,0.2694,0.1938,0.559,0.2564,0.086,0.0248,0.0088,0.0018,0.44099999999999995,0.30260000000000004,0.17040000000000002,0.06119999999999999,0.016,0.007000000000000001,27,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Scotland,C,1822.104744122759,0.1042,0.2202,0.3826,0.2534,0.5778,0.2108,0.0752,0.0246,0.0052,0.0014,0.4222,0.367,0.1356,0.050600000000000006,0.0194,0.0037999999999999996,28,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Algeria,J,1858.747629498189,0.0912,0.2622,0.3474,0.2124,0.5658,0.1672,0.0658,0.0236,0.0082,0.0012,0.43420000000000003,0.39859999999999995,0.10139999999999999,0.0422,0.015399999999999999,0.007000000000000001,29,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Ivory Coast,E,1796.2648453762192,0.1342,0.2476,0.4252,0.2986,0.6804,0.2432,0.0774,0.019,0.004,0.001,0.3196,0.43720000000000003,0.1658,0.058399999999999994,0.015,0.003,30,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Egypt,G,1794.032006631587,0.1564,0.2426,0.305,0.208,0.607,0.2144,0.0658,0.0194,0.004,0.0004,0.393,0.39259999999999995,0.1486,0.0464,0.0154,0.0036,31,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Uzbekistan,K,1818.0034640596127,0.0892,0.19,0.349,0.2136,0.4928,0.1734,0.0456,0.0122,0.003,0.0004,0.5072,0.3194,0.1278,0.0334,0.0092,0.0026,32,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Jordan,J,1776.2620257550038,0.0392,0.1718,0.2952,0.1676,0.3786,0.0748,0.0246,0.0064,0.0022,0.0004,0.6214,0.30379999999999996,0.05020000000000001,0.0182,0.004200000000000001,0.0018000000000000002,33,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Panama,L,1832.511743518153,0.0768,0.2462,0.4542,0.3002,0.6232,0.1772,0.052,0.0138,0.0026,0.0002,0.3768,0.44599999999999995,0.1252,0.0382,0.0112,0.0024,34,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Iraq,I,1728.8856535810344,0.0352,0.1026,0.2574,0.1448,0.2826,0.072,0.018,0.0038,0.0014,0.0002,0.7174,0.2106,0.05399999999999999,0.014199999999999999,0.0024000000000000002,0.0012,35,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Tunisia,F,1727.6054107092716,0.0642,0.1544,0.3302,0.2034,0.422,0.0922,0.0242,0.0046,0.001,0.0002,0.5780000000000001,0.3298,0.068,0.0196,0.0036,0.0008,36,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Czechia,A,1756.7372282818046,0.0194,0.1016,0.5538,0.338,0.459,0.1462,0.0362,0.0064,0.001,0.0,0.5409999999999999,0.3128,0.10999999999999999,0.029800000000000004,0.0054,0.001,37,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Bosnia-Herzegovina,B,1656.6626721673915,0.0768,0.2248,0.4422,0.303,0.6046,0.1286,0.0336,0.0048,0.001,0.0,0.3954,0.47600000000000003,0.095,0.0288,0.0037999999999999996,0.001,38,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
New Zealand,G,1729.1648877066348,0.0828,0.1618,0.2894,0.1806,0.4252,0.1138,0.0226,0.0042,0.0006,0.0,0.5748,0.3114,0.0912,0.0184,0.0036,0.0006,39,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Saudi Arabia,H,1696.5854128599904,0.031,0.1504,0.4476,0.2266,0.408,0.074,0.019,0.0034,0.0006,0.0,0.5920000000000001,0.33399999999999996,0.05499999999999999,0.0156,0.0028,0.0006,40,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Haiti,C,1701.789404479474,0.0424,0.1134,0.2792,0.1564,0.3122,0.0712,0.0164,0.0028,0.0006,0.0,0.6878,0.241,0.0548,0.013600000000000001,0.0022,0.0006,41,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
South Africa,A,1652.9408368061584,0.0072,0.0612,0.2832,0.154,0.2224,0.0524,0.0126,0.002,0.0006,0.0,0.7776000000000001,0.16999999999999998,0.0398,0.0106,0.0014000000000000002,0.0006,42,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Congo DR,K,1747.3715630458369,0.0538,0.129,0.3224,0.1842,0.367,0.0968,0.025,0.0046,0.0004,0.0,0.633,0.2702,0.0718,0.0204,0.0042,0.0004,43,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Cape Verde Islands,H,1644.7706180708274,0.0122,0.0962,0.3338,0.1452,0.2536,0.0308,0.0072,0.0014,0.0004,0.0,0.7464,0.2228,0.023600000000000003,0.0058,0.001,0.0004,44,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Qatar,B,1583.0544605754692,0.043,0.0938,0.2364,0.1348,0.2716,0.0386,0.0074,0.0006,0.0004,0.0,0.7283999999999999,0.233,0.031200000000000002,0.0068000000000000005,0.00019999999999999993,0.0004,45,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Sweden,F,1751.9384702756963,0.091,0.1782,0.3398,0.2162,0.4854,0.1418,0.0348,0.0066,0.0002,0.0,0.5146,0.3436,0.10700000000000001,0.028199999999999996,0.0064,0.0002,46,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Ghana,L,1619.079820702289,0.0102,0.0576,0.2398,0.11,0.1778,0.0286,0.0034,0.0006,0.0002,0.0,0.8222,0.1492,0.0252,0.0028,0.00039999999999999996,0.0002,47,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
Curaçao,E,1599.673608197475,0.0184,0.0586,0.206,0.1062,0.1832,0.0266,0.0034,0.0,0.0,0.0,0.8168,0.15660000000000002,0.0232,0.0034,0.0,0.0,48,2026-06-13T01:56:23.292945+00:00,phase5_tournament_v1,provisional_constraint_assignment
